"Name","Team","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Brandon Crawford","SFG","SS","1309.0","","0","","3","16","19","342","283",".828","85","","","","19","","1.4","16.2","3.7","21.3","22.1","28.0","5343"
"Francisco Lindor","CLE","SS","1364.2","","-2","","-2","21","17","343","289",".843","114","","","","16","","-0.8","18.0","3.6","20.8","20.7","27.8","12916"
"Freddy Galvis","PHI","SS","1350.0","","0","","2","3","5","336","280",".833","72","","","","3","","0.7","9.1","5.3","15.1","14.6","22.0","6609"
"Addison Russell","CHC","SS","1262.2","","-1","","0","20","19","327","283",".865","68","","","","15","","-1.1","14.5","2.0","15.4","14.3","21.9","14106"
"Andrelton Simmons","LAA","SS","1045.0","","2","","0","16","18","249","187",".751","90","","","","14","","0.6","12.9","1.9","15.4","25.1","20.8","10847"
"Jose Iglesias","DET","SS","1163.0","","2","","2","-1","3","331","274",".828","70","","","","9","","1.9","2.6","7.2","11.6","11.4","17.6","10231"
"Corey Seager","LAD","SS","1345.0","","-3","","-2","5","0","315","239",".759","81","","","","-1","","-1.3","12.3","-0.5","10.6","11.1","17.5","13624"
"J.J. Hardy","BAL","SS","990.0","","3","","0","3","6","238","197",".828","80","","","","2","","2.3","5.5","3.4","11.2","14.3","16.3","3797"
"Zack Cozart","CIN","SS","966.2","","-2","","0","10","8","233","188",".807","71","","","","7","","-1.1","8.9","1.8","9.6","14.6","14.6","2616"
"Adeiny Hechavarria","MIA","SS","1222.0","","-1","","1","9","9","306","258",".843","63","","","","7","","-0.6","5.2","3.7","8.3","8.5","14.6","10459"
"Troy Tulowitzki","TOR","SS","1128.2","","0","","1","9","10","310","251",".810","81","","","","9","","0.9","0.8","3.3","4.9","5.4","10.8","3531"
"Danny Espinosa","WSN","SS","1358.0","","1","","3","4","8","320","257",".803","98","","","","11","","0.3","3.8","-2.8","1.4","1.4","8.3","9219"
"Alcides Escobar","KCR","SS","1412.0","","-1","","0","-5","-6","380","299",".787","75","","","","7","","0.0","-2.7","3.5","0.8","0.7","8.1","6310"
"Carlos Correa","HOU","SS","1355.2","","3","","-2","-4","-3","317","249",".786","122","","","","2","","-0.4","-0.4","-1.4","-2.3","-3.0","4.7","14162"
"Xander Bogaerts","BOS","SS","1378.2","","-1","","2","-11","-10","337","267",".792","51","","","","-2","","-0.8","-3.5","1.4","-2.9","-2.8","4.2","12161"
"Didi Gregorius","NYY","SS","1309.1","","-2","","-2","-5","-9","354","271",".766","73","","","","4","","-1.4","-1.3","-0.2","-2.9","-3.4","3.8","6012"
"Marcus Semien","OAK","SS","1385.1","","1","","0","-7","-6","389","305",".784","106","","","","-18","","0.1","-0.3","-3.5","-3.7","-3.3","3.4","12533"
"Asdrubal Cabrera","NYM","SS","1154.0","","0","","3","-10","-7","312","227",".728","49","","","","-3","","0.5","-9.4","4.7","-4.2","-4.7","1.8","4962"
"Jordy Mercer","PIT","SS","1245.1","","1","","1","-11","-9","362","277",".765","80","","","","-2","","-0.8","-10.5","2.8","-8.4","-10.1","-2.0","6547"
"Aledmys Diaz","STL","SS","910.0","","1","","0","-4","-3","262","195",".744","47","","","","-6","","-0.1","-5.2","-3.1","-8.4","-11.4","-3.7","15937"
"Ketel Marte","SEA","SS","1032.2","","0","","-1","-1","-2","256","182",".711","97","","","","-9","","0.3","-3.8","-6.7","-10.3","-15.3","-4.9","13613"
"Jonathan Villar","MIL","SS","915.2","","-1","","1","5","5","263","189",".719","87","","","","-3","","-1.3","-4.6","-5.5","-11.4","-18.2","-6.6","10071"
"Elvis Andrus","TEX","SS","1294.0","","0","","-1","-2","-3","381","275",".722","98","","","","2","","0.4","-15.2","-0.5","-15.4","-14.6","-8.7","8709"
"Alexei Ramirez","- - -","SS","1059.2","","1","","1","-22","-20","296","203",".686","64","","","","-10","","0.6","-19.6","-0.6","-19.6","-22.9","-14.2","5133"
